,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,Porto San Giorgio,0,IT,1567108558,83,43.18,13.79,78.01,1.12
279,Minab,95,IR,1567108560,51,27.15,57.07,91.4,2.24
280,Makakilo City,1,US,1567108561,66,21.35,-158.09,86.0,9.17
281,Saldanha,0,PT,1567108562,38,41.42,-6.55,77.17,4.88
282,Moron,100,HT,1567108564,74,18.56,-74.26,83.65,11.21
283,Aden,0,YE,1567108565,53,12.79,45.03,88.15,8.66
284,Gravdal,75,NO,1567108566,77,59.79,5.78,60.8,16.11
285,Upernavik,12,GL,1567108567,78,72.79,-56.15,42.61,2.37
286,Sitka,0,US,1567108569,45,37.17,-99.65,95.0,8.01
287,Necochea,0,AR,1567108385,70,-38.55,-58.74,54.0,4.0
288,Leningradskiy,100,RU,1567108571,93,69.38,178.42,43.69,7.74
289,Suleja,40,NG,1567108572,88,9.18,7.18,73.4,2.37
290,Pingyin,0,CN,1567108574,65,36.28,116.45,62.95,1.25
291,Penzance,40,GB,1567108575,82,50.12,-5.53,61.0,9.17
292,Grindavik,75,IS,1567108576,81,63.84,-22.43,51.8,19.46
293,Hohhot,0,CN,1567108577,70,40.81,111.65,48.2,2.24
294,Tat,100,MM,1567108578,95,18.97,94.33,76.45,2.75
295,Derzhavinsk,100,KZ,1567108580,87,51.1,66.31,53.59,20.94
296,Belmonte,0,PT,1567108581,65,40.36,-7.35,86.0,1.99
297,Andilamena,52,MG,1567108582,94,-17.01,48.57,55.03,5.66
298,La Baule-Escoublac,0,FR,1567108583,68,47.28,-2.4,66.2,8.05
299,Nanortalik,0,GL,1567108585,81,60.14,-45.24,44.05,2.19
300,Nantucket,1,US,1567108395,78,41.28,-70.1,81.0,20.8
301,Puerto Leguizamo,2,CO,1567108587,70,-0.19,-74.78,83.65,3.47
302,Ahuimanu,40,US,1567108588,55,21.44,-157.84,86.0,4.7
303,Carnarvon,0,ZA,1567108589,16,-30.97,22.13,48.01,9.22
304,Yenotayevka,0,RU,1567108591,38,47.24,47.04,55.93,6.93
305,San Juan,0,AR,1567108566,34,-31.54,-68.53,57.73,8.14
306,Henties Bay,0,NA,1567108593,86,-22.12,14.28,55.0,8.01
307,Sucua,40,EC,1567108594,50,-2.46,-78.17,78.8,3.36
308,Lompoc,1,US,1567108595,50,34.64,-120.46,88.0,6.93
309,Petropavlovsk-Kamchatskiy,51,RU,1567108597,100,53.05,158.65,44.6,2.24
310,Mao,20,DO,1567108598,32,19.55,-71.08,96.8,10.29
311,Inirida,54,CO,1567108599,55,3.87,-67.92,88.33,0.09
312,Kruisfontein,95,ZA,1567108600,83,-34.0,24.73,46.75,8.79
313,Berlevag,0,NO,1567108602,64,70.86,29.09,69.8,25.28
314,Sao Gabriel da Cachoeira,20,BR,1567108603,88,-0.13,-67.09,78.8,5.82
315,Provideniya,90,RU,1567108604,81,64.42,-173.23,50.0,11.18
316,San Jeronimo,0,PE,1567108605,328,-13.65,-73.37,37.4,4.7
317,Vostok,100,RU,1567108606,98,46.45,135.83,56.29,4.16
318,Kaeo,0,NZ,1567108607,100,-35.1,173.78,44.01,2.59
319,San Policarpo,100,PH,1567108609,86,12.18,125.51,77.89,5.91
320,Souillac,0,FR,1567108610,53,45.6,-0.6,75.2,6.93
321,Bubaque,100,GW,1567108611,82,11.28,-15.83,80.59,20.71
322,Port Keats,72,AU,1567108612,23,-14.25,129.55,62.05,16.6
323,Touros,20,BR,1567108614,48,-5.2,-35.46,82.4,12.75
324,Aripuana,86,BR,1567108615,20,-9.17,-60.63,98.59,2.24
325,Strezhevoy,99,RU,1567108616,93,60.73,77.6,41.0,4.47
326,Yarkovo,0,RU,1567108617,82,54.81,82.6,60.8,6.71
327,Miyako,75,JP,1567108619,100,33.63,130.94,75.99,1.12
328,Robertsport,100,LR,1567108620,89,6.75,-11.37,75.91,8.41
329,Chum Phae,100,TH,1567108622,91,16.54,102.1,75.55,5.88
330,San Andres,100,PH,1567108623,83,13.32,122.68,78.79,10.65
331,Formosa,84,BR,1567108625,42,-15.55,-47.33,72.67,1.7
332,Kuytun,0,RU,1567108626,79,54.34,101.51,51.61,3.4
333,Port Said,0,EG,1567108628,21,25.34,30.55,86.35,7.52
334,Premia de Mar,92,ES,1567108629,65,41.49,2.37,81.0,3.36
335,Marsa Matruh,40,EG,1567108631,74,31.35,27.25,80.6,9.17
336,Coihaique,40,CL,1567108632,99,-45.58,-72.07,48.2,5.82
337,Dubti,1,ET,1567108633,23,11.74,41.09,94.81,4.52
338,Praia,0,BR,1567108634,31,-20.25,-43.81,77.0,8.05
339,Fortuna,75,US,1567108635,64,40.6,-124.16,75.0,6.93
340,Nabire,100,ID,1567108637,99,-3.36,135.5,66.73,4.05
341,Kawalu,88,ID,1567108638,91,-7.38,108.21,66.19,3.13
342,Terrace,75,CA,1567108465,55,54.52,-128.61,70.0,19.46
343,Linhares,32,BR,1567108640,76,-19.38,-40.06,67.63,6.91
344,Havoysund,0,NO,1567108642,68,71.0,24.66,69.8,21.92
345,Sao Filipe,33,CV,1567108643,79,14.9,-24.5,78.97,8.32
346,Akdepe,0,TM,1567108644,48,42.05,59.39,64.4,6.93
347,Jacareacanga,0,BR,1567108645,47,-6.22,-57.76,95.0,2.24
348,Kazachinskoye,86,RU,1567108647,82,57.69,93.28,49.63,5.1
349,Sabha,0,LY,1567108528,18,27.03,14.43,86.35,7.47
350,Thinadhoo,100,MV,1567108649,68,0.53,72.93,81.67,12.44
351,Galeana,81,MX,1567108650,73,24.83,-100.08,63.0,1.99
352,Marawi,95,PH,1567108651,91,8.0,124.29,75.0,8.01
353,Rundu,1,NA,1567108653,21,-17.91,19.77,78.8,5.82
354,Ugoofaaru,100,MV,1567108654,70,5.67,73.0,82.39,10.76
355,Walvis Bay,1,NA,1567108655,86,-22.95,14.51,55.0,8.01
356,Pacifica,1,US,1567108656,64,37.61,-122.49,78.01,6.93
357,Poya,100,NC,1567108657,75,-21.35,165.16,70.33,7.18
358,Port Hedland,0,AU,1567108659,82,-20.31,118.58,64.4,5.82
359,Fort Nelson,5,CA,1567108660,51,58.81,-122.69,62.6,4.7
360,Sambava,38,MG,1567108661,94,-14.27,50.17,64.75,2.8
361,Talnakh,75,RU,1567108662,87,69.49,88.39,50.0,8.95
362,Opuwo,41,NA,1567108664,52,-18.06,13.84,56.83,3.53
363,Verkhnevilyuysk,6,RU,1567108665,83,63.45,120.31,46.57,1.1
364,Namibe,98,AO,1567108667,85,-15.19,12.15,63.49,12.97
365,Cochrane,90,CL,1567108668,89,-47.25,-72.57,31.45,5.55
366,Pangnirtung,90,CA,1567108669,33,66.15,-65.72,59.0,18.34
367,Lorengau,88,PG,1567108670,81,-2.02,147.27,80.59,10.36
368,Bodden Town,40,KY,1567108672,70,19.28,-81.25,89.6,10.29
369,Chifeng,0,CN,1567108673,74,42.27,118.96,54.13,10.6
370,Paris,0,FR,1567108673,52,48.86,2.35,68.0,4.7
371,Deputatskiy,99,RU,1567108675,83,69.3,139.9,26.77,4.16
372,Dordrecht,0,NL,1567108677,87,51.8,4.68,66.0,4.7
373,Sandwick,85,GB,1567108678,87,54.57,-2.89,63.0,14.99
374,San Juan Bautista,0,PY,1567108679,41,-26.67,-57.15,85.63,4.68
375,Fairbanks,90,US,1567108680,76,64.84,-147.72,55.0,3.38
376,Anadyr,40,RU,1567108682,87,64.73,177.51,50.0,11.18
377,Pyaozerskiy,96,RU,1567108683,91,65.83,31.17,57.01,9.33
378,Zhangjiakou,0,CN,1567108684,79,40.77,114.88,49.09,8.63
379,Gongzhuling,29,CN,1567108685,95,43.5,124.81,55.57,3.33
380,Galion,40,US,1567108686,44,40.73,-82.79,80.01,16.11
381,Opatija,0,HR,1567108688,73,45.33,14.3,80.6,1.12
382,Whyalla,0,AU,1567108689,86,-33.04,137.58,33.8,5.82
383,Isetskoye,100,RU,1567108690,84,56.49,65.32,51.61,15.03
384,Melnikovo,68,RU,1567108691,83,56.55,84.09,55.0,4.76
385,Liwale,37,TZ,1567108693,79,-9.8,37.92,64.03,9.1
386,Port Hardy,40,CA,1567108694,100,50.7,-127.42,53.6,3.36
387,Severo-Kurilsk,90,RU,1567108695,96,50.68,156.12,49.99,6.91
388,Podyuga,85,RU,1567108696,98,61.09,40.86,47.29,4.88
389,Tommot,81,RU,1567108697,97,58.97,126.27,46.75,1.57
390,Vila Franca do Campo,75,PT,1567108699,94,37.72,-25.43,73.4,8.05
391,Wattegama,54,LK,1567108700,87,7.35,80.68,72.67,5.17
392,Kiruna,29,SE,1567108701,93,67.86,20.23,60.8,12.75
393,Dakar,40,SN,1567108702,88,14.69,-17.45,84.2,5.82
394,Ranau,75,MY,1567108704,88,5.95,116.67,77.0,4.7
395,Takaungu,40,KE,1567108705,88,-3.68,39.86,77.0,5.82
396,Simoes,13,BR,1567108706,39,-7.6,-40.82,80.05,7.78
397,Turukhansk,99,RU,1567108707,94,65.8,87.96,45.67,6.26
398,Ola,100,RU,1567108709,89,59.58,151.3,52.69,3.53
399,Karasburg,0,NA,1567108710,61,-28.01,18.75,45.49,8.48
400,Nambour,0,AU,1567108711,96,-26.63,152.96,51.01,1.01
401,Lahij,30,YE,1567108713,46,13.06,44.88,89.77,6.29
402,Sandpoint,1,US,1567108551,46,48.28,-116.55,80.01,3.36
403,Senneterre,75,CA,1567108715,52,48.39,-77.24,66.2,11.41
404,Lazaro Cardenas,20,MX,1567108716,33,28.39,-105.62,93.99,5.82
405,Ust-Nera,27,RU,1567108718,74,64.57,143.24,31.09,4.23
406,Black River,75,JM,1567108719,65,18.03,-77.85,82.4,9.17
407,Placido de Castro,96,BR,1567108720,45,-10.34,-67.19,88.69,3.06
408,Lima,90,PE,1567108472,82,-12.06,-77.04,62.6,11.41
409,Birjand,0,IR,1567108594,17,32.86,59.22,75.2,13.87
410,Port Macquarie,21,AU,1567108724,93,-31.43,152.91,48.2,6.93
411,The Valley,20,AI,1567108466,66,18.22,-63.06,86.0,12.75
412,Epe,0,DE,1567108726,77,52.18,7.04,71.01,1.12
413,Lynchburg,1,US,1567108710,35,37.41,-79.14,86.0,8.05
414,Pearl Lagoon,6,NI,1567108728,55,12.34,-83.67,88.51,7.31
415,Taltal,0,CL,1567108730,69,-25.41,-70.49,60.25,6.49
416,Puerto Escondido,75,MX,1567108731,62,15.86,-97.07,87.8,8.05
417,Namatanai,100,PG,1567108732,84,-3.66,152.44,79.15,13.91
418,Khvorostyanka,92,RU,1567108733,76,52.62,48.95,49.63,8.01
419,Inta,100,RU,1567108734,84,66.04,60.13,40.99,7.76
420,Rochegda,0,RU,1567108736,94,62.67,43.41,43.15,1.92
421,Balkanabat,0,TM,1567108737,34,39.51,54.36,72.31,18.05
422,Pogar,0,RU,1567108738,70,52.55,33.26,53.41,6.29
423,Labytnangi,100,RU,1567108740,94,66.66,66.39,37.21,11.45
424,Castro-Urdiales,40,ES,1567108741,73,43.38,-3.22,73.4,3.36
425,Qandala,0,SO,1567108742,60,11.47,49.87,88.87,5.75
426,Garowe,100,SO,1567108743,40,8.41,48.48,81.85,22.91
427,Broome,0,GB,1567108744,59,52.47,1.45,66.2,5.82
428,Mouzouras,0,GR,1567108746,69,35.53,24.15,73.4,5.55
429,Carballo,20,ES,1567108747,77,43.21,-8.69,69.8,5.82
430,Mnogovershinnyy,96,RU,1567108748,82,53.94,139.92,52.69,2.19
431,Mahibadhoo,85,MV,1567108749,73,3.78,72.97,81.31,9.01
432,Timberlake,40,US,1567108750,58,32.26,-81.31,93.2,6.93
433,Saint Anthony,1,US,1567108752,18,43.97,-111.68,88.0,11.41
434,Sept-Iles,90,CA,1567108740,93,50.2,-66.38,59.0,13.87
435,Kirakira,100,SB,1567108754,78,-10.46,161.92,79.33,2.93
436,College,90,US,1567108756,76,64.86,-147.8,55.4,3.38
437,Dinar,0,TR,1567108757,33,38.07,30.16,77.0,8.05
438,Isangel,75,VU,1567108758,88,-19.55,169.27,64.4,3.36
439,General Roca,0,AR,1567108759,20,-39.03,-67.58,64.4,13.87
440,Krasnyy Yar,22,RU,1567108760,79,50.7,44.73,52.87,9.08
441,Caravelas,100,BR,1567108762,74,-17.73,-39.27,71.77,9.48
442,Mogadishu,25,SO,1567108763,87,2.04,45.34,75.37,11.32
443,Komsomolskiy,100,RU,1567108765,83,67.55,63.78,38.47,10.71
444,Tiarei,20,PF,1567108766,65,-17.53,-149.33,82.4,6.93
445,Southbridge,1,US,1567108767,47,42.08,-72.03,84.99,10.29
446,Duluth,90,US,1567108522,49,46.77,-92.13,71.01,12.75
447,Meridian,1,US,1567108615,22,43.61,-116.39,89.01,4.7
448,Cidreira,81,BR,1567108770,66,-30.17,-50.22,69.61,7.83
449,Benjamin Constant,20,BR,1567108772,52,-4.38,-70.03,91.4,3.36
450,Vieux Fort,20,LC,1567108773,70,13.72,-60.95,87.8,17.22
451,Matamoros,40,US,1567108717,53,25.87,-97.51,98.6,18.34
452,Kindersley,75,CA,1567108775,48,51.47,-109.16,64.0,11.41
453,Bud,20,NO,1567108776,87,62.91,6.91,57.2,4.7
454,Puri,50,ID,1567108778,88,-7.54,112.45,69.25,8.99
455,Zlitan,0,LY,1567108779,71,32.47,14.57,78.61,14.12
456,Muli,100,CN,1567108780,75,28.08,109.56,68.89,2.01
457,Tivaouane,40,SN,1567108781,88,14.95,-16.81,80.6,5.82
458,Beringovskiy,100,RU,1567108782,97,63.05,179.32,47.29,6.87
459,Yining,95,CN,1567108785,78,29.04,114.56,70.69,0.78
460,Yorosso,64,ML,1567108787,87,12.35,-4.78,74.83,4.32
461,Dunedin,62,NZ,1567108760,71,-45.87,170.5,42.01,5.99
462,Sinnar,93,IN,1567108789,90,19.85,74.0,72.31,9.42
463,Ust-Omchug,94,RU,1567108791,81,61.13,149.63,43.51,4.05
464,Ampere,1,US,1567108792,47,38.1,-121.24,84.99,19.46
465,Saurimo,52,AO,1567108793,50,-9.66,20.4,72.67,2.71
466,Fukuma,75,JP,1567108794,100,33.77,130.47,75.99,1.12
467,Grand Gaube,75,MU,1567108796,88,-20.01,57.66,73.0,9.17
468,Stonewall,20,CA,1567108797,39,50.13,-97.33,66.99,27.51
469,Bonavista,0,CA,1567108798,86,48.65,-53.11,54.0,1.99
470,Svetlogorsk,90,RU,1567108799,87,53.14,59.15,48.2,13.42
471,North Bend,1,US,1567108801,64,43.41,-124.22,81.0,11.41
472,Havre-Saint-Pierre,90,CA,1567108802,93,50.23,-63.6,57.2,17.22
473,Chara,20,GR,1567108803,53,39.42,22.43,75.2,11.41
474,Letnyaya Stavka,0,RU,1567108807,35,45.43,43.44,58.27,8.93
475,Vega de Alatorre,41,MX,1567108812,69,20.03,-96.65,84.01,4.45
476,Cabo San Lucas,75,MX,1567108665,70,22.89,-109.91,91.99,10.29
477,Mundo Nuevo,0,CL,1567108815,77,-32.72,-71.41,62.6,12.75
478,Kutum,99,SD,1567108817,63,14.2,24.66,73.39,14.97
479,Troitskoye,100,RU,1567108818,73,52.98,84.68,68.53,10.09
480,Joensuu,0,FI,1567108821,88,62.6,29.76,64.4,6.93
481,Mineiros,100,BR,1567108678,30,-17.57,-52.55,81.31,4.74
482,Sioux Lookout,90,CA,1567108823,58,50.1,-91.92,59.0,18.34
483,Vizinga,0,RU,1567108824,92,61.08,50.08,34.69,4.36
484,Buritis,87,BR,1567108825,33,-15.62,-46.42,80.23,5.21
485,Darhan,0,MN,1567108827,82,49.49,105.92,54.31,2.33
486,Ostrovnoy,0,RU,1567108828,85,68.05,39.51,51.97,15.73
487,Lavrentiya,65,RU,1567108829,68,65.58,-170.99,51.25,5.99
488,Severobaykalsk,25,RU,1567108831,87,55.65,109.32,44.77,2.86
489,Ciudad Ojeda,95,VE,1567108832,56,10.22,-71.33,90.31,6.33
490,Wairoa,4,NZ,1567108833,72,-39.04,177.43,46.99,7.0
491,Matara,18,BI,1567108834,70,-3.48,29.48,54.13,2.01
492,Atocha,20,AR,1567108836,17,-24.82,-65.48,95.0,10.29
493,Aqtobe,90,KZ,1567108837,76,50.28,57.21,48.2,22.37
494,Victor Harbor,0,AU,1567108838,92,-35.55,138.62,42.01,5.82
495,Vardo,1,US,1567108840,37,39.62,-77.74,82.99,8.05
496,Salekhard,100,RU,1567108842,73,66.54,66.62,45.13,14.03
497,Rio Grande,0,BR,1567108843,33,-32.03,-52.1,91.4,11.41
498,Flinders,75,AU,1567108844,100,-34.58,150.85,55.0,12.75
499,Vanavara,51,RU,1567108845,91,60.35,102.28,44.95,1.7
500,Quatre Cocos,75,MU,1567108846,88,-20.21,57.76,73.0,9.17
501,Monastyrshchina,70,RU,1567108848,80,54.35,31.84,54.31,7.47
502,Longkou,0,CN,1567108849,64,37.64,120.47,74.11,13.2
503,Riyadh,0,SA,1567108800,21,24.63,46.72,93.2,3.36
504,Hami,2,CN,1567108851,19,42.84,93.51,75.55,1.68
505,Yar-Sale,100,RU,1567108852,94,66.83,70.83,44.05,17.56
506,Jacmel,40,HT,1567108854,62,18.24,-72.54,90.0,10.29
507,Mugur-Aksy,33,RU,1567108855,74,50.38,90.44,40.81,3.33
508,Carutapera,28,BR,1567108856,78,-1.2,-46.02,79.87,9.31
509,Kota Kinabalu,75,MY,1567108687,88,5.98,116.07,77.0,4.7
510,Gananoque,75,CA,1567108859,64,44.33,-76.16,73.4,14.99
511,Alexandria,0,RO,1567108769,37,43.97,25.33,71.59,4.68
512,Tela,75,HN,1567108861,88,15.78,-87.45,89.6,17.22
513,La Ronge,75,CA,1567108863,51,55.1,-105.3,60.8,14.99
514,Sergeyevka,100,KZ,1567108864,94,53.88,67.42,50.89,9.31
515,San Ramon,20,NI,1567108865,51,12.92,-85.84,80.6,18.34
516,Spassk,2,RU,1567108866,87,53.93,43.19,54.13,9.37
517,Ambon,0,FR,1567108867,82,47.55,-2.56,66.0,4.7
518,Ileza,0,RU,1567108869,95,61.05,43.9,41.17,2.08
519,Rio Verde de Mato Grosso,89,BR,1567108870,26,-18.92,-54.84,87.07,1.32
520,Portland,40,US,1567108871,57,43.66,-70.25,82.99,5.82
521,Honiara,20,SB,1567108872,100,-9.43,159.96,71.6,3.36
522,Sola,61,TZ,1567108873,56,-3.17,33.8,73.75,0.16
523,Kodinsk,72,RU,1567108875,86,58.6,99.18,48.01,2.28
524,Abalak,90,NE,1567108876,36,15.46,6.28,91.57,6.89
525,Aksu,0,KZ,1567108877,56,52.04,76.93,68.0,13.42
526,Yenagoa,100,NG,1567108878,91,4.92,6.26,76.27,2.59
527,Nouadhibou,20,MR,1567108880,73,20.93,-17.03,77.0,12.75
528,Pokrovsk,0,RU,1567108881,90,61.48,129.14,43.15,3.49
529,Taicheng,100,CN,1567108882,83,22.25,112.8,82.99,4.0
530,Balikpapan,100,ID,1567108884,92,-1.24,116.86,66.37,2.68
531,Kieta,98,PG,1567108822,78,-6.22,155.63,79.51,4.99
532,Imphal,100,IN,1567108886,96,24.8,93.94,70.87,1.86
533,Port Augusta,0,AU,1567108888,86,-32.49,137.76,37.99,5.82
534,Alberton,0,ZA,1567108889,38,-26.25,28.13,66.2,9.53
535,Marienburg,0,DE,1567108890,82,52.12,9.98,72.0,1.12
536,Hovd,75,NO,1567108891,82,63.83,10.7,59.0,9.17
537,Longyearbyen,75,NO,1567108893,81,78.22,15.63,48.2,16.11
538,Vaitape,3,PF,1567108895,73,-16.52,-151.75,78.61,8.05
539,Simpang Empat,75,MY,1567108896,94,6.02,100.38,77.0,1.12
540,Lethem,25,GY,1567108897,52,3.38,-59.8,89.77,6.58
541,Paldiski,90,EE,1567108898,72,59.35,24.08,70.0,8.05
542,Airai,52,TL,1567108899,63,-8.93,125.41,63.31,5.64
543,Salinas,1,US,1567108770,57,36.67,-121.66,82.99,6.93
544,Guia Lopes da Laguna,58,BR,1567108902,24,-21.46,-56.11,89.77,5.21
545,Agua Buena,100,MX,1567108903,40,29.88,-109.91,87.43,2.17
546,Katobu,31,ID,1567108904,80,-4.94,122.53,68.17,3.58
547,Armidale,3,AU,1567108905,72,-30.51,151.67,26.01,5.3
548,Cabinda,0,AO,1567108907,87,-5.56,12.19,73.03,10.56
549,Halifax,90,CA,1567108845,100,44.65,-63.58,73.99,11.41
550,Pacific Grove,1,US,1567108909,57,36.62,-121.92,82.99,6.93
551,Chitrakonda,67,IN,1567108911,93,18.12,82.08,72.67,2.17
552,Ilovlya,0,RU,1567108912,46,49.31,43.98,55.0,4.47
553,Hatta,100,IN,1567108913,91,24.13,79.6,77.89,3.58
554,Karratha,0,AU,1567108890,85,-20.74,116.85,63.49,7.43
